AU01_r;AU02_r;AU04_r;AU05_r;AU06_r;AU07_r;AU09_r;AU10_r;AU12_r;AU14_r;AU15_r;AU17_r;AU20_r;AU23_r;AU25_r;AU26_r;AU45_r;AU01_c;AU02_c;AU04_c;AU05_c;AU06_c;AU07_c;AU09_c;AU10_c;AU12_c;AU14_c;AU15_c;AU17_c;AU20_c;AU23_c;AU25_c;AU26_c;AU28_c;AU45_c
0.0;0.0;0.92;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.56;0.0;0.25;0.0;0.82;0.57;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
0.0;0.0;0.91;0.0;0.0;0.2;0.0;0.04;0.0;0.04;0.64;0.07;0.14;0.02;0.37;0.28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.93;0.0;0.0;0.31;0.0;0.07;0.0;0.05;0.5;0.07;0.05;0.02;0.09;0.09;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;1.0;0.0;0.0;0.29;0.0;0.06;0.0;0.12;0.4;0.06;0.09;0.02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;1.03;0.0;0.0;0.32;0.0;0.09;0.0;0.14;0.26;0.0;0.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;1.07;0.0;0.0;0.32;0.0;0.1;0.0;0.19;0.34;0.12;0.05;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;1.05;0.0;0.0;0.21;0.0;0.14;0.0;0.18;0.42;0.2;0.02;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;1.05;0.0;0.0;0.09;0.0;0.13;0.0;0.23;0.36;0.25;0.07;0.0;0.0;0.0;0.09;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;1.02;0.0;0.0;0.0;0.0;0.21;0.0;0.25;0.23;0.18;0.13;0.0;0.0;0.0;0.06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;1.0;0.0;0.0;0.07;0.0;0.25;0.0;0.25;0.05;0.16;0.17;0.0;0.09;0.0;0.06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;1.0;0.0;0.0;0.15;0.0;0.36;0.0;0.26;0.08;0.15;0.16;0.0;0.37;0.11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;1.03;0.0;0.0;0.15;0.0;0.34;0.0;0.26;0.17;0.13;0.09;0.0;0.73;0.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.04;1.08;0.0;0.0;0.07;0.0;0.35;0.0;0.19;0.19;0.12;0.07;0.0;1.16;0.59;0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.04;0.04;1.08;0.0;0.0;0.07;0.0;0.31;0.0;0.11;0.2;0.12;0.08;0.0;1.42;0.77;0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
0.07;0.05;1.1;0.0;0.0;0.17;0.0;0.22;0.0;0.04;0.18;0.09;0.08;0.0;1.63;0.92;0.19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
0.07;0.08;1.05;0.0;0.0;0.29;0.0;0.1;0.0;0.05;0.29;0.04;0.05;0.02;1.65;0.97;0.39;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
0.04;0.27;1.06;0.0;0.0;0.23;0.0;0.0;0.0;0.05;0.28;0.0;0.0;0.08;1.7;1.04;0.49;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
0.07;0.37;1.05;0.0;0.0;0.26;0.0;0.0;0.0;0.03;0.33;0.0;0.0;0.2;1.71;1.0;0.32;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
0.1;0.58;1.06;0.0;0.0;0.23;0.0;0.0;0.0;0.06;0.27;0.0;0.0;0.34;1.74;1.07;0.18;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
0.09;0.39;1.0;0.0;0.0;0.41;0.0;0.07;0.0;0.03;0.27;0.0;0.0;0.49;1.64;1.06;0.07;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
0.07;0.39;1.02;0.0;0.0;0.46;0.0;0.13;0.0;0.04;0.32;0.0;0.0;0.51;1.54;1.0;0.1;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
0.03;0.11;1.03;0.0;0.0;0.62;0.0;0.15;0.0;0.09;0.28;0.0;0.0;0.41;1.42;0.85;0.04;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
0.03;0.11;1.11;0.0;0.0;0.52;0.0;0.16;0.0;0.2;0.29;0.0;0.0;0.2;1.41;0.73;0.06;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
